standard_name,lucide_icon,source
nd-ai,sparkles,nidara-spec
nd-audio-input-microphone,mic,nidara-spec
nd-audio-speakers,speaker,nidara-spec
nd-audio-volume-high,volume-2,nidara-spec
nd-audio-volume-low,volume,nidara-spec
nd-audio-volume-medium,volume-1,nidara-spec
nd-audio-volume-muted,volume-x,nidara-spec
nd-audio-x-generic,music,nidara-spec
nd-avatar-default,user-round,nidara-spec
nd-bar,panel-top,nidara-spec
nd-battery,battery,nidara-spec
nd-bluetooth-active,bluetooth,nidara-spec
nd-bluetooth-disabled,bluetooth-off,nidara-spec
nd-clipboard,clipboard,nidara-spec
nd-contact-new,user-round-plus,nidara-spec
nd-control-center,settings-2,nidara-spec
nd-conversation-reset,rotate-ccw,nidara-spec
nd-cpu,cpu,nidara-spec
nd-dark-mode,moon,nidara-spec
nd-dialog-information,info,nidara-spec
nd-dialog-password,key,nidara-spec
nd-display-brightness,sun,nidara-spec
nd-display-brightness-low,sun-dim,nidara-spec
nd-dock,dock,nidara-spec
nd-drive-harddisk,hard-drive,nidara-spec
nd-emblem-default,check,nidara-spec
nd-hand,hand,nidara-spec
nd-input-gaming,gamepad-2,nidara-spec
nd-input-keyboard,keyboard,nidara-spec
nd-light-mode,sun,nidara-spec
nd-media-playback-pause,pause,nidara-spec
nd-media-playback-start,play,nidara-spec
nd-media-playback-stop,record-stop,nidara-spec
nd-media-record,record,nidara-spec
nd-media-skip-backward,skip-back,nidara-spec
nd-media-skip-forward,skip-forward,nidara-spec
nd-network-vpn,shield,nidara-spec
nd-network-vpn-disconnected,shield-off,nidara-spec
nd-network-wired,ethernet-port,nidara-spec
nd-network-wireless,wifi,nidara-spec
nd-network-wireless-acquiring,wifi-sync,nidara-spec
nd-network-wireless-configure,wifi-cog,nidara-spec
nd-network-wireless-disabled,wifi-off,nidara-spec
nd-network-wireless-signal-none,wifi-zero,nidara-spec
nd-network-wireless-signal-ok,wifi-high,nidara-spec
nd-network-wireless-signal-weak,wifi-low,nidara-spec
nd-night-light,sun-moon,nidara-spec
nd-notifications,bell,nidara-spec
nd-notifications-disabled,bell-off,nidara-spec
nd-pan-down,chevron-down,nidara-spec
nd-pan-end,chevron-right,nidara-spec
nd-pan-start,chevron-left,nidara-spec
nd-pan-up,chevron-up,nidara-spec
nd-power-profile-balanced,battery,nidara-spec
nd-power-profile-performance,zap,nidara-spec
nd-power-profile-power-saver,leaf,nidara-spec
nd-preferences-desktop,settings,nidara-spec
nd-preferences-desktop-accessibility,accessibility,nidara-spec
nd-preferences-desktop-peripherals,mouse-pointer,nidara-spec
nd-preferences-desktop-theme,palette,nidara-spec
nd-preferences-system,settings-2,nidara-spec
nd-preferences-system-network,globe,nidara-spec
nd-preferences-system-notifications,bell,nidara-spec
nd-preferences-system-time,clock,nidara-spec
nd-screenshot,camera,nidara-spec
nd-sidebar-show,sidebar,nidara-spec
nd-system-lock-screen,lock,nidara-spec
nd-system-log-out,log-out,nidara-spec
nd-system-reboot,rotate-ccw,nidara-spec
nd-system-search,search,nidara-spec
nd-system-shutdown,power,nidara-spec
nd-system-suspend,moon,nidara-spec
nd-user-trash,trash,nidara-spec
nd-utilities-terminal,terminal,nidara-spec
nd-value-decrease,minus,nidara-spec
nd-value-increase,plus,nidara-spec
nd-video-display,monitor,nidara-spec
nd-view-grid,grid,nidara-spec
nd-window-close,x,nidara-spec
nd-window-floating,app-window,nidara-spec
nd-window-tiling,grid,nidara-spec
nd-zoom-in,zoom-in,nidara-spec
nd-zoom-out,zoom-out,nidara-spec
accessories-calculator,calculator,study
accessories-dictionary,book-a,study
accessories-text-editor,file-pen,study
airplane-mode,plane,study
alarm,alarm-clock,study
application-certificate,file-badge,study
application-exit,log-out,study
application-rss+xml,rss,study
application-x-addon,puzzle,study
applications-games,gamepad-2,study
applications-graphics,palette,study
applications-utilities,wrench,study
appointment-missed,calendar-x,study
appointment-new,calendar-plus,study
appointment-soon,calendar-clock,study
audio-headphones,headphones,study
audio-headset,headset,study
audio-input-microphone,mic,standard
audio-speakers,speaker,standard
audio-volume-high,volume-2,standard
audio-volume-low,volume,standard
audio-volume-medium,volume-1,standard
audio-volume-muted,volume-x,standard
audio-x-generic,music,standard
auth-fingerprint,fingerprint,study
avatar-default,user-round,standard
battery,battery,standard
battery-action,battery-warning,study
battery-caution,battery-warning,study
battery-full,battery-full,study
battery-level-0,battery,study
battery-level-100,battery-full,study
battery-low,battery-low,study
bluetooth,bluetooth,study
bluetooth-acquiring,bluetooth-searching,standard
bluetooth-active,bluetooth,standard
bluetooth-disabled,bluetooth-off,standard
bluetooth-paired,bluetooth-connected,standard
bookmark-new,bookmark-plus,study
call-start,phone-call,study
call-stop,phone-off,study
camera-disabled,camera-off,study
camera-photo,camera,standard
camera-switch,switch-camera,study
camera-video,video,study
camera-web,webcam,study
changes-allow,unlock,study
changes-prevent,lock,study
channel-insecure,shield-alert,study
channel-secure,shield-check,study
chat-message-new,message-square-plus,study
checkbox,square,study
checkbox-checked,check-square,study
checkbox-mixed,minus-square,study
color-select,pipette,study
contact-new,user-round-plus,standard
daytime-sunrise,sunrise,study
daytime-sunset,sunset,study
dialog-error,circle-x,study
dialog-information,info,standard
dialog-password,key,standard
dialog-question,circle-help,study
dialog-warning,triangle-alert,study
display-brightness,sun,standard
display-brightness-low,sun-dim,standard
display-projector,projector,study
document-edit,file-pen,study
document-new,file-plus,study
document-open,folder-open,study
document-open-recent,history,study
document-print,printer,study
document-save,save,study
drive-harddisk,hard-drive,standard
drive-optical,disc,study
edit-clear,eraser,study
edit-copy,copy,study
edit-cut,scissors,study
edit-delete,trash-2,study
edit-find,search,study
edit-find-replace,replace,study
edit-paste,clipboard,standard
edit-redo,redo-2,study
edit-undo,undo-2,study
emblem-default,check,standard
emblem-favorite,star,study
emblem-readonly,lock,study
emblem-shared,share-2,study
emblem-system,settings,standard
error-correct,spell-check,study
face-angry,angry,study
face-laugh,laugh,study
face-plain,meh,study
face-sad,frown,study
face-smile,smile,study
find-location,locate,study
folder,folder,study
folder-download,folder-down,study
folder-new,folder-plus,study
folder-open,folder-open,study
folder-saved-search,folder-search,study
font-select,type,study
font-x-generic,type,study
format-indent-less,indent-decrease,study
